,Mass g,Density g/cm3,Pressure dyn/cm2,Temperature K,Radius cm,Luminosity erg/s,Energy Generation Rate erg/s/g,Opacity,Del_ad,Del,Radiative or Convective
38,2.2576189301851264e+33,4.218353594104008,3415732847494973.0,6008801.826899274,31090916656.820366,1.3089772862368246e+34,0.014145043988736061,3.250070363961169,0.4,0.1948000766778219,Radiates
39,2.4190718746903067e+33,2.3782228176243616,1680145042532885.0,5241638.321514903,34814469387.904144,1.3091071753983695e+34,0.003654983417260118,4.006642713187206,0.4,0.19040052180435502,Radiates
40,2.5314440419221153e+33,1.3643494873218796,846941622994686.2,4604804.494211163,38497110729.23002,1.3091307329219374e+34,0.0009642944781826602,4.912046141733711,0.4,0.18878536852409325,Radiates
41,2.609767386018044e+33,0.7965970014133961,436147699243021.1,4060475.8741667285,42160803231.029785,1.3091350767042651e+34,0.00025547200108669694,6.015331749000026,0.4,0.1910075821934046,Radiates
42,2.664423829593732e+33,0.4731262655357558,228687439401708.3,3583766.627980773,45809930426.88066,1.3091358769214048e+34,6.677307384658598e-05,7.313846844201526,0.4,0.19655912964243705,Radiates
43,2.702745743706039e+33,0.2849057589389387,121215604979569.6,3153753.389149116,49457181448.27454,1.3091360215935628e+34,1.669089961872155e-05,8.851036684667015,0.4,0.20725444286739314,Radiates
44,2.73095595899883e+33,0.16793142211205814,62074453570942.58,2739374.5550006647,53323535299.04091,1.3091360468558355e+34,3.5584128864186838e-06,10.299866305250653,0.4,0.21472935664943305,Radiates
45,2.749050637869675e+33,0.10318813780603653,33237983412245.438,2386709.365967233,56906711950.07132,1.3091360503271014e+34,7.68221430670652e-07,11.677116672924159,0.4,0.22472774539717766,Radiates
46,2.760842067594529e+33,0.06541773213287934,18446187397262.605,2089027.111131755,60218876483.11672,1.3091360508166037e+34,1.6847525475515687e-07,12.588138028784535,0.4,0.22809593298768116,Radiates
47,2.769168834011066e+33,0.04093258080856575,10038101606524.395,1816593.835426483,63541156222.43149,1.3091360508895608e+34,3.273995135460409e-08,13.346551864017133,0.4,0.22946010296208644,Radiates
48,2.774752446193391e+33,0.02551090341154243,5440704018318.257,1579572.1972638478,66756610435.31134,1.3091360508988755e+34,5.964177935234994e-09,13.924211347186029,0.4,0.22652223505512728,Radiates
49,2.7781346320227363e+33,0.01656903518653009,3116627598971.9727,1392925.7115754066,69555891009.94731,1.3091360508999397e+34,1.2143225370903282e-09,14.580910581343327,0.4,0.22442526589781206,Radiates
50,2.78047380871331e+33,0.010556218017722238,1746025287774.8838,1224600.3825728563,72330546100.2939,1.309136050900085e+34,2.2316165941948117e-10,15.267688479305027,0.4,0.2201885571403553,Radiates
51,2.782097817198786e+33,0.006456587142815245,930541742193.5759,1066770.8128856951,75180085952.4173,1.3091360509001025e+34,3.377503042522633e-11,16.31267367086351,0.4,0.21760627315665207,Radiates
52,2.782985347916794e+33,0.004228185200837208,542718117370.33,949817.0671981253,77482305423.25964,1.309136050900104e+34,6.4685320525988735e-12,17.147150469111104,0.4,0.21220850222105034,Radiates
53,2.783583897813327e+33,0.0027139500589367345,310148557310.1238,845329.8225467508,79737804295.51866,1.3091360509001043e+34,1.1477615149018013e-12,18.231530988313565,0.4,0.2054712790260887,Radiates
54,2.7839547295499897e+33,0.001766303249694548,180877542813.5749,757163.9117524447,81787258164.32089,1.3091360509001043e+34,2.1087646596361996e-13,19.92450038010521,0.4,0.2034312152448485,Radiates
55,2.7841986587185067e+33,0.0011348444622617563,103831225644.8222,676155.3423082144,83770344405.49643,1.3091360509001043e+34,3.5075467990299676e-14,22.17204752140452,0.4,0.204321902704943,Radiates
56,2.784345779027735e+33,0.0007470161535245492,61362759437.36414,606756.2309966659,85530498347.69348,1.3091360509001043e+34,6.018276927759635e-15,24.72178054053138,0.4,0.20762123888267156,Radiates
57,2.78444940484575e+33,0.00046687673087395426,33856180418.93612,535347.4076915653,87379053383.43684,1.3091360509001043e+34,7.448008117512084e-16,27.79872099768799,0.4,0.21254354795468672,Radiates
58,2.784502668776866e+33,0.0003175788198914467,20751479170.725334,482170.52167562593,88787258109.33539,1.3091360509001043e+34,1.238757822807591e-16,30.094157461907418,0.4,0.21431288620487599,Radiates
59,2.784541435485962e+33,0.00020391351083187957,11813776624.095417,427274.59435450926,90284131972.75334,1.3091360509001043e+34,1.4637312587932062e-17,32.664626683133534,0.4,0.21475920364983456,Radiates
60,2.7845627908910665e+33,0.000137889474609666,7181074857.899745,383882.89303860883,91500861463.66261,1.3091360509001043e+34,2.0790208472525652e-18,35.04774446438802,0.4,0.21496352426167747,Radiates
61,2.784576658758595e+33,9.25292158232801e-05,4324167177.33115,344283.11880141427,92643298275.93607,1.3091360509001043e+34,2.6868375935525377e-19,37.53249863684632,0.4,0.21426693576508932,Radiates
62,2.7845854972157295e+33,6.180265750306289e-05,2588196945.445713,308328.81575250457,93705001189.894,1.3091360509001043e+34,3.170406338107329e-20,40.570701897328064,0.4,0.21550637568375883,Radiates
63,2.784590826486812e+33,4.2090417401255654e-05,1585318983.290357,277142.9087602247,94635005210.90385,1.3091360509001043e+34,3.789166196003243e-21,44.08599572215032,0.4,0.21973950446586443,Radiates
64,2.784593960664982e+33,2.978243907842516e-05,1016587173.9898703,251043.68419826773,95409954929.72855,1.3091360509001043e+34,5.034408724346024e-22,47.62685642130109,0.4,0.22610218794531683,Radiates
65,2.7845960283230495e+33,2.118252232048514e-05,652922336.2491779,226622.01710666242,96119640365.37845,1.3091360509001043e+34,5.966790083537122e-23,51.77659797347638,0.4,0.23773423809891353,Radiates
66,2.7845973176004825e+33,1.5505352883290814e-05,432325752.2306203,204974.42541972385,96725120005.66776,1.3091360509001043e+34,7.073301540632782e-24,54.96250380350191,0.4,0.24968002615300225,Radiates
67,2.78459843900958e+33,1.0193374725818516e-05,245655170.31399173,177196.61182757904,97469991084.31157,1.3091360509001043e+34,2.9574520935255443e-25,57.32454325033699,0.4,0.2649412498396175,Radiates
68,2.7845989855787084e+33,7.3558100587308435e-06,157052857.1967861,157042.85115212848,97992327936.11304,1.3091360509001043e+34,1.9525666116663434e-26,57.49761446749051,0.4,0.2753769718422345,Radiates
69,2.78459932198137e+33,5.445920251260527e-06,103583503.24923599,139961.35952022928,98428147508.52461,1.3091360509001043e+34,1.3442210097819759e-27,55.685726805001,0.4,0.2788087906870351,Radiates
70,2.7845995223127066e+33,4.211722577769738e-06,72245354.4579117,126282.41298548717,98769106726.86716,1.3091360509001043e+34,1.1491461504307512e-28,55.82824019518829,0.4,0.2941690182679405,Radiates
71,2.784599627142335e+33,3.5355414585927123e-06,56034916.12579663,116740.7737045993,98989875725.72415,1.3091360509001043e+34,1.7007217281366494e-29,58.761642821785905,0.4,0.3288265858257687,Radiates
72,2.7845997598257205e+33,2.675969784904136e-06,35747575.82397946,98566.453510013,99337607998.68956,1.3091360509001043e+34,2.6041033353631975e-31,71.30703192071118,0.4,0.5009183597389296,Convects
73,2.784599839079308e+33,2.0984218140225343e-06,23780158.60239115,83736.89233555985,99605087954.9127,1.3091360509001043e+34,3.822546146113338e-33,98.01701248081032,0.4,0.8793329666224382,Convects
74,2.7845998956231465e+33,1.6143576111477274e-06,15329262.583636325,70249.49489522836,99849286886.88313,1.3091360509001043e+34,3.1368033428843854e-35,156.3715053295389,0.4,1.8256207028038667,Convects
75,2.78459993281263e+33,1.237095060554057e-06,9821327.839298096,58789.28978446131,100057500429.00406,1.3091360509001043e+34,1.8059645845686184e-37,276.71465837469685,0.4,4.220015136505373,Convects
76,2.784599955046899e+33,9.710448479485802e-07,6552667.051286105,50003.203907292555,100217590132.36197,1.3091360509001043e+34,1.2754437957418722e-39,398.5454067270315,0.4,7.748347089515388,Convects
77,2.78459997089923e+33,7.478688338041026e-07,4236422.665080714,41998.51515422439,100363799602.0052,1.3091360509001043e+34,4.5431120036418556e-42,435.3248021053428,0.4,10.9946506008178,Convects
78,2.78459998132423e+33,5.737135076114841e-07,2721415.440204097,35184.20666681815,100488541218.31732,1.3091360509001043e+34,1.0635796909766868e-44,452.3699451093247,0.4,14.900540341690588,Convects
79,2.78459998757057e+33,4.504651776592257e-07,1817681.8813179065,29939.010845082747,100584734864.15796,1.3091360509001043e+34,3.106578138520008e-47,469.49541869952657,0.4,19.701710246438417,Convects
80,2.7845999920050814e+33,3.474081713280747e-07,1178428.1511441376,25174.14981089358,100672254676.744,1.3091360509001043e+34,4.151949768478738e-50,498.4639572160967,0.4,27.128270083076053,Convects
